
date, Births per 1000 People, Annual % Change
1950-12-31,50.039
1951-12-31,49.695,-0.69
1952-12-31,49.35,-0.69
1953-12-31,49.006,-0.7
1954-12-31,48.662,-0.7
1955-12-31,48.317,-0.71
1956-12-31,47.973,-0.71
1957-12-31,47.628,-0.72
1958-12-31,47.284,-0.72
1959-12-31,47.017,-0.56
1960-12-31,46.751,-0.57
1961-12-31,46.484,-0.57
1962-12-31,46.218,-0.57
1963-12-31,45.951,-0.58
1964-12-31,45.583,-0.8
1965-12-31,45.215,-0.81
1966-12-31,44.848,-0.81
1967-12-31,44.48,-0.82
1968-12-31,44.112,-0.83
1969-12-31,43.705,-0.92
1970-12-31,43.297,-0.93
1971-12-31,42.89,-0.94
1972-12-31,42.482,-0.95
1973-12-31,42.075,-0.96
1974-12-31,41.791,-0.67
1975-12-31,41.507,-0.68
1976-12-31,41.223,-0.68
1977-12-31,40.939,-0.69
1978-12-31,40.655,-0.69
1979-12-31,42.65,4.91
1980-12-31,44.645,4.68
1981-12-31,46.639,4.47
1982-12-31,48.634,4.28
1983-12-31,50.629,4.1
1984-12-31,49.742,-1.75
1985-12-31,48.856,-1.78
1986-12-31,47.969,-1.82
1987-12-31,47.083,-1.85
1988-12-31,46.196,-1.88
1989-12-31,44.559,-3.54
1990-12-31,42.922,-3.67
1991-12-31,41.285,-3.81
1992-12-31,39.648,-3.97
1993-12-31,38.011,-4.13
1994-12-31,36.558,-3.82
1995-12-31,35.105,-3.97
1996-12-31,33.653,-4.14
1997-12-31,32.2,-4.32
1998-12-31,30.747,-4.51
1999-12-31,29.888,-2.79
2000-12-31,29.028,-2.88
2001-12-31,28.169,-2.96
2002-12-31,27.309,-3.05
2003-12-31,26.45,-3.15
2004-12-31,26.411,-0.15
2005-12-31,26.372,-0.15
2006-12-31,26.334,-0.14
2007-12-31,26.295,-0.15
2008-12-31,26.256,-0.15
2009-12-31,25.91,-1.32
2010-12-31,25.564,-1.34
2011-12-31,25.217,-1.36
2012-12-31,24.871,-1.37
2013-12-31,24.525,-1.39
2014-12-31,24.165,-1.47
2015-12-31,23.805,-1.49
2016-12-31,23.445,-1.51
2017-12-31,23.085,-1.54
2018-12-31,22.725,-1.56
2019-12-31,22.26,-2.05
2020-12-31,21.795,-2.09
2021-12-31,21.33,-2.13
2022-12-31,20.865,-2.18
2023-12-31,20.4,-2.23
2024-12-31,20.038,-1.77
2025-12-31,19.675,-1.81
2026-12-31,19.313,-1.84
2027-12-31,18.95,-1.88
2028-12-31,18.588,-1.91
2029-12-31,18.382,-1.11
2030-12-31,18.176,-1.12
2031-12-31,17.969,-1.14
2032-12-31,17.763,-1.15
2033-12-31,17.557,-1.16
2034-12-31,17.405,-0.87
2035-12-31,17.253,-0.87
2036-12-31,17.1,-0.89
2037-12-31,16.948,-0.89
2038-12-31,16.796,-0.9
2039-12-31,16.6,-1.17
2040-12-31,16.403,-1.19
2041-12-31,16.207,-1.19
2042-12-31,16.01,-1.22
2043-12-31,15.814,-1.22
2044-12-31,15.6,-1.35
2045-12-31,15.386,-1.37
2046-12-31,15.172,-1.39
2047-12-31,14.958,-1.41
2048-12-31,14.744,-1.43
2049-12-31,14.544,-1.36
2050-12-31,14.344,-1.38
2051-12-31,14.143,-1.4
2052-12-31,13.943,-1.41
2053-12-31,13.743,-1.43
2054-12-31,13.605,-1
2055-12-31,13.467,-1.01
2056-12-31,13.329,-1.02
2057-12-31,13.191,-1.04
2058-12-31,13.053,-1.05
2059-12-31,12.948,-0.8
2060-12-31,12.843,-0.81
2061-12-31,12.737,-0.83
2062-12-31,12.632,-0.82
2063-12-31,12.527,-0.83
2064-12-31,12.423,-0.83
2065-12-31,12.319,-0.84
2066-12-31,12.216,-0.84
2067-12-31,12.112,-0.85
2068-12-31,12.008,-0.86
2069-12-31,11.905,-0.86
2070-12-31,11.802,-0.87
2071-12-31,11.7,-0.86
2072-12-31,11.597,-0.88
2073-12-31,11.494,-0.89
2074-12-31,11.403,-0.79
2075-12-31,11.312,-0.8
2076-12-31,11.22,-0.81
2077-12-31,11.129,-0.81
2078-12-31,11.038,-0.82
2079-12-31,10.964,-0.67
2080-12-31,10.889,-0.68
2081-12-31,10.815,-0.68
2082-12-31,10.74,-0.69
2083-12-31,10.666,-0.69
2084-12-31,10.608,-0.54
2085-12-31,10.551,-0.54
2086-12-31,10.493,-0.55
2087-12-31,10.436,-0.54
2088-12-31,10.378,-0.56
2089-12-31,10.329,-0.47
2090-12-31,10.279,-0.48
2091-12-31,10.23,-0.48
2092-12-31,10.18,-0.49
2093-12-31,10.131,-0.48
2094-12-31,10.085,-0.45
2095-12-31,10.038,-0.47
2096-12-31,9.992,-0.46
2097-12-31,9.945,-0.47
2098-12-31,9.899,-0.46
2099-12-31,9.853,-0.46
2100-12-31,9.806,-0.48
